Serial	Code	Product	PurchasePrice	SellingPrice	Unit	Category	TaxPercent
1	GS 22	Gas R22	0	0	Kg	TRADING	5.5
2	GS 410	Gas R 410A	0	0	Kg	TRADING	5.5
3	GS 404	Gas R 404A	0	0	Kg	TRADING	5.5
4	GS 407	Gas R 407C 	0	0	Kg	TRADING	5.5
5	GS 134	Gas 134A	0	0	Kg	TRADING	5.5
6	GB 22	Gas R22	0	0	Kg	TRADING	5.5
7	GB 410	Gas R 410A	0	0	Kg	TRADING	5.5
8	GB 404	Gas R 404A	0	0	Kg	TRADING	5.5
9	GB 407	Gas R 407C 	0	0	Kg	TRADING	5.5
10	GB 134	Gas 134A	0	0	Kg	TRADING	5.5
11	CPS 14-6	"Copper pipe Soft 1/4""-6mm"	0	0	MT 	TRADING	5.5
12	CPS 38-10	"Copper pipe Soft 3/8""-10mm"	0	0	MT 	TRADING	5.5
13	CPS 12-13	"Copper pipe Soft 1/2""-13mm"	0	0	MT 	TRADING	5.5
14	CPS 58-16	"Copper pipe Soft 5/8""-16mm"	0	0	MT 	TRADING	5.5
15	CPS 34-19	"Copper pipe Soft 3/4""-19mm"	0	0	MT 	TRADING	5.5
16	CPH 14-6	"Copper pipe Hard 1/4""-6mm"	0	0	MT 	TRADING	5.5
17	CPH 38-10	"Copper pipe Hard 3/8""-10mm"	0	0	MT 	TRADING	5.5
18	CPH 12-13	"Copper pipe Hard 1/2""-13mm"	0	0	MT 	TRADING	5.5
19	CPH 58-16	"Copper pipe Hard 5/8""-16mm"	0	0	MT 	TRADING	5.5
20	CPH 34-19	"Copper pipe Hard 3/4""-19mm"	0	0	MT 	TRADING	5.5
21	CPH 78-22	"Copper pipe Hard 7/8""-22mm"	0	0	MT 	TRADING	5.5
22	CPH 1-25	"Copper pipe Hard 1""-25mm"	0	0	MT 	TRADING	5.5
23	CPH 118-28	"Copper pipe Hard 1 1/8""-28mm"	0	0	MT 	TRADING	5.5
24	CPH 114-32	"Copper pipe Hard 1 1/4""-32mm"	0	0	MT 	TRADING	5.5
25	CPH 138-35	"Copper pipe Hard 1 3/8""-35mm"	0	0	MT 	TRADING	5.5
26	CPH 112-38	"Copper pipe Hard 1 1/2""-38mm"	0	0	MT 	TRADING	5.5
27	CPH 158-42	"Copper pipe Hard 1 5/8""-42mm"	0	0	MT 	TRADING	5.5
28	CPH 134-44	"Copper pipe Hard 1 3/4""-44mm"	0	0	MT 	TRADING	5.5
29	CFE 14-6	"Copper fittings Elbow 1/4""-6mm"	0	0	Nos	TRADING	14.5
30	CFE 38-10	"Copper fittings Elbow 3/8""-10mm"	0	0	Nos	TRADING	14.5
31	CFE 12-13	"Copper fittings Elbow 1/2""-13mm"	0	0	Nos	TRADING	14.5
32	CFE 58-16	"Copper fittings Elbow 5/8""-16mm"	0	0	Nos	TRADING	14.5
33	CFE 34-19	"Copper fittings Elbow 3/4""-19mm"	0	0	Nos	TRADING	14.5
34	CFE 78-22	"Copper fittings Elbow 7/8""-22mm"	0	0	Nos	TRADING	14.5
35	CFE 1-25	"Copper fittings Elbow  1""-25mm"	0	0	Nos	TRADING	14.5
36	CFE 118-28	"Copper fittings Elbow 1 1/8""-28mm"	0	0	Nos	TRADING	14.5
37	CFE 114-32	"Copper fittings Elbow 1 1/4""-32mm"	0	0	Nos	TRADING	14.5
38	CFE 138-35	"Copper fittings Elbow 1 3/8""-35mm"	0	0	Nos	TRADING	14.5
39	CFE 112-38	"Copper fittings Elbow 1 1/2""-38mm"	0	0	Nos	TRADING	14.5
40	CFE 158-42	"Copper fittings Elbow 1 5/8""-42mm"	0	0	Nos	TRADING	14.5
