Serial	CustomerCode	CustomerName	Address1	Address2	Area	City	Pincode	State
1	CST00000001	361 degrees marketing pvt ltd	"#433, 17th cross road, HSR layout, sector 4."	Pantheon Road	Area	BANGALORE	600008	KARNATAKA
2	CST00000002	A C ENTERPRISES	"#85,10th Main,4th block,C Cross,Koramangala"		Area	BANGALORE	600008	KARNATAKA
3	CST00000003	A K Engineers.	"#424/1,11th Cross,4th Phase,Peenya Indl. Area,"		Area	BANGALORE	600008	KARNATAKA
4	CST00000004	A.M. MARKETING	"#1722/3,KABIR ROAD CROSS,LASHKAR MOHALLA"		Area	BANGALORE	600008	KARNATAKA
5	CST00000005	ABB Ltd	"Plot no 5 & 6, 2nd Phase, Peenya Industrial Area Peenya,"		Area	BANGALORE	600008	KARNATAKA
6	CST00000006	"ABB LTD A/c BMRCL Project Office,"	"1st floor, inopc building peenya 2nd stage, peenya,"		Area	BANGALORE	600008	KARNATAKA
7	CST00000007	ABS AIRCON ENGINEERS PRIVATE LIMITED	"#63/4, BASAVA SADAN, VISHWANTHA RAO ROAD, OFF RACE COURSE ROAD, MADHAVNAGAR,"		Area	BANGALORE	600008	KARNATAKA
8	CST00000008	ADP SYSTEMS	"#132,2nd main,5th cross,Cambridge lay out,Halasuru,"		Area	BANGALORE	600008	KARNATAKA
9	CST00000009	Air Comfort Engineers Pvt ltd	"# 1651, Jeevan bhimanagar Main Road,HAL 3rd Stage,"		Area	BANGALORE	600008	KARNATAKA
10	CST00000010	Air Con Refrigeration	"Maloo House, 7/1, Plain Street, Off Infantry Road"		Area	BANGALORE	600008	KARNATAKA
11	CST00000011	Air Cool Engineering	"No.78/3, Indranagar,Bangalore Road"		Area	BANGALORE	600008	KARNATAKA
12	CST00000012	AIR FREEZE ENTERPRISES	"16 & 17, 1st Flr, Kedia Arcade, 92, Infantry road"		Area	BANGALORE	600008	KARNATAKA
13	CST00000013	AIR WAVES	"E-182,LGF,KALKAJI"		Area	BANGALORE	600008	KARNATAKA
14	CST00000014	AIR WAVES PROJECTS PVT.LTD	"e-182,lgf,kalkaji,"		Area	BANGALORE	600008	KARNATAKA
15	CST00000015	AIRCOMFORT ENGINEERS PVT.LTD	"L118, 9th A main, SectorXI, LIC Colony, Jeevan Bhima Nagar "		Area	BANGALORE	600008	KARNATAKA
16	CST00000016	aircool engineering			Area	BANGALORE	600008	KARNATAKA
17	CST00000017	AKSHADA AIRCON	"Ambal Building,1ST Floor,Old #727,New#218/1,Pathari road,Anna Salai"		Area	BANGALORE	600008	KARNATAKA
18	CST00000018	ALPHINE	"#16&17, Corporation building, Behind dena bank, JC Road"		Area	BANGALORE	600008	KARNATAKA
19	CST00000019	ALTEM TECHNOLOGIES	"# 4,6th Cross,6th Block,Koramangala"		Area	BANGALORE	600008	KARNATAKA
20	CST00000020	Amog Enterprises 	"No.A/3/24, Ground Floor, Satellite Complex,Koppikar Road "		Area	BANGALORE	600008	KARNATAKA
21	CST00000021	Aparna Jha	"2008, Shobha Sunbeam II, Off.Kanahapura Road, "		Area	BANGALORE	600008	KARNATAKA
22	CST00000022	APEX ENTERPRISES	"#16,17th 'F' cross,Indiranagar 2nd stage,"		Area	BANGALORE	600008	KARNATAKA
