Serial	CustomerCode	CustomerName	Address1	Address2	Area	City	Pincode	State
1	SUP00000001	361 degrees marketing pvt ltd	"#433, 17th cross road, HSR layout, sector 4."	Pantheon Road	Area	BANGALORE	600008	KARNATAKA
2	SUP00000002	A C ENTERPRISES	"#85,10th Main,4th block,C Cross,Koramangala"		Area	BANGALORE	600008	KARNATAKA
3	SUP00000003	A K Engineers.	"#424/1,11th Cross,4th Phase,Peenya Indl. Area,"		Area	BANGALORE	600008	KARNATAKA
4	SUP00000004	A.M. MARKETING	"#1722/3,KABIR ROAD CROSS,LASHKAR MOHALLA"		Area	BANGALORE	600008	KARNATAKA
5	SUP00000005	ABB Ltd	"Plot no 5 & 6, 2nd Phase, Peenya Industrial Area Peenya,"		Area	BANGALORE	600008	KARNATAKA
6	SUP00000006	"ABB LTD A/c BMRCL Project Office,"	"1st floor, inopc building peenya 2nd stage, peenya,"		Area	BANGALORE	600008	KARNATAKA
7	SUP00000007	ABS AIRCON ENGINEERS PRIVATE LIMITED	"#63/4, BASAVA SADAN, VISHWANTHA RAO ROAD, OFF RACE COURSE ROAD, MADHAVNAGAR,"		Area	BANGALORE	600008	KARNATAKA
8	SUP00000008	ADP SYSTEMS	"#132,2nd main,5th cross,Cambridge lay out,Halasuru,"		Area	BANGALORE	600008	KARNATAKA
9	SUP00000009	Air Comfort Engineers Pvt ltd	"# 1651, Jeevan bhimanagar Main Road,HAL 3rd Stage,"		Area	BANGALORE	600008	KARNATAKA
10	SUP00000010	Air Con Refrigeration	"Maloo House, 7/1, Plain Street, Off Infantry Road"		Area	BANGALORE	600008	KARNATAKA
11	SUP00000011	Air Cool Engineering	"No.78/3, Indranagar,Bangalore Road"		Area	BANGALORE	600008	KARNATAKA
12	SUP00000012	AIR FREEZE ENTERPRISES	"16 & 17, 1st Flr, Kedia Arcade, 92, Infantry road"		Area	BANGALORE	600008	KARNATAKA
13	SUP00000013	AIR WAVES	"E-182,LGF,KALKAJI"		Area	BANGALORE	600008	KARNATAKA
14	SUP00000014	AIR WAVES PROJECTS PVT.LTD	"e-182,lgf,kalkaji,"		Area	BANGALORE	600008	KARNATAKA
15	SUP00000015	AIRCOMFORT ENGINEERS PVT.LTD	"L118, 9th A main, SectorXI, LIC Colony, Jeevan Bhima Nagar "		Area	BANGALORE	600008	KARNATAKA
16	SUP00000016	aircool engineering			Area	BANGALORE	600008	KARNATAKA
17	SUP00000017	AKSHADA AIRCON	"Ambal Building,1ST Floor,Old #727,New#218/1,Pathari road,Anna Salai"		Area	BANGALORE	600008	KARNATAKA
18	SUP00000018	ALPHINE	"#16&17, Corporation building, Behind dena bank, JC Road"		Area	BANGALORE	600008	KARNATAKA
19	SUP00000019	ALTEM TECHNOLOGIES	"# 4,6th Cross,6th Block,Koramangala"		Area	BANGALORE	600008	KARNATAKA
20	SUP00000020	Amog Enterprises 	"No.A/3/24, Ground Floor, Satellite Complex,Koppikar Road "		Area	BANGALORE	600008	KARNATAKA
21	SUP00000021	Aparna Jha	"2008, Shobha Sunbeam II, Off.Kanahapura Road, "		Area	BANGALORE	600008	KARNATAKA
22	SUP00000022	APEX ENTERPRISES	"#16,17th 'F' cross,Indiranagar 2nd stage,"		Area	BANGALORE	600008	KARNATAKA
23	SUP00000023	APOLLO HEALTH & STYLE	BANASHANKARI		Area	BANGALORE	600008	KARNATAKA
24	SUP00000024	APOLLO HEALTH & STYLE	"Yashodaraa, Plot no 881/A, Ward no.99, Bhasaweshwara Nagar,"		Area	BANGALORE	600008	KARNATAKA
25	SUP00000025	APPLIED AIR ENGINEERS	"#7,Street no 3,opp.L R Appartment,Near MSIL Godown,Konena Agrahara"		Area	BANGALORE	600008	KARNATAKA
26	SUP00000026	APPOLLO CLINIC BASAVESHWARNAGAR	WEST OF CHORD ROAD		Area	BANGALORE	600008	KARNATAKA
27	SUP00000027	Aqsa cooling Systems	"#13,11TH CROSS,BENDRE NAGAR,BANASHAKRI 2ND STAGE "		Area	BANGALORE	600008	KARNATAKA
